rank,count,weighted_score,sev_1,sev_2,sev_3,type_MA,type_PP,type_JK,type_MP,lat,lon
382,34,44.0,24,10,0,27,2,2,3,60.244712,24.847380
383,30,44.0,16,14,0,27,3,0,0,60.212231,24.969718
384,28,44.0,16,10,2,17,1,10,0,60.224514,24.856898
385,38,43.0,33,5,0,34,1,0,3,60.221203,25.081638
386,38,43.0,33,5,0,37,1,0,0,60.170647,24.959314
387,37,43.0,31,6,0,36,0,0,1,60.241845,24.986799
388,35,43.0,27,8,0,30,1,1,3,60.284689,25.013110
389,34,43.0,25,9,0,27,0,7,0,60.167070,24.927188
390,34,43.0,25,9,0,23,0,11,0,60.168840,24.932896
391,29,43.0,15,14,0,10,11,3,5,60.243201,24.925606
392,28,43.0,13,15,0,20,4,4,0,60.195447,24.962843
393,39,42.0,36,3,0,35,1,0,3,60.198122,24.948530
394,37,42.0,32,5,0,31,2,1,3,60.192270,25.039306
395,37,42.0,32,5,0,32,2,3,0,60.165636,24.965475
396,37,42.0,32,5,0,32,2,1,2,60.177473,24.927250
397,35,42.0,28,7,0,24,9,0,2,60.206837,25.053184
398,34,42.0,26,8,0,29,1,2,2,60.186126,24.940901
399,33,42.0,24,9,0,29,2,1,1,60.242790,24.975209
400,33,42.0,24,9,0,27,2,3,1,60.275089,25.035436
401,32,42.0,24,7,1,27,1,3,1,60.163150,24.908997
402,31,42.0,20,11,0,23,7,0,1,60.208558,25.066737
403,31,42.0,20,11,0,27,1,2,1,60.221464,25.110716
404,29,42.0,16,13,0,19,7,0,3,60.255432,24.982952
405,28,42.0,14,14,0,16,6,6,0,60.238628,24.928442
406,27,42.0,16,9,2,14,10,2,1,60.195481,24.884795
407,39,41.0,37,2,0,35,2,2,0,60.171048,24.956671
408,37,41.0,33,4,0,36,0,0,1,60.237169,24.907188
409,37,41.0,33,4,0,35,0,2,0,60.158855,24.942776
410,37,41.0,33,4,0,34,0,3,0,60.159141,24.954878
411,36,41.0,31,5,0,31,2,3,0,60.158949,24.932980
412,34,41.0,27,7,0,24,3,6,1,60.231069,24.934514
413,34,41.0,27,7,0,26,5,2,1,60.202643,24.925166
414,33,41.0,25,8,0,26,4,2,1,60.181129,24.953380
415,32,41.0,23,9,0,25,3,1,3,60.192791,24.977639
416,32,41.0,25,6,1,27,0,3,2,60.176841,24.917544
417,31,41.0,21,10,0,28,1,2,0,60.193410,24.905293
418,31,41.0,21,10,0,26,4,1,0,60.193210,24.934711
419,28,41.0,15,13,0,17,6,0,5,60.156957,24.885203
420,28,41.0,15,13,0,13,9,3,3,60.233288,24.966867
421,36,40.0,32,4,0,33,1,2,0,60.225009,25.078783
422,36,40.0,32,4,0,31,0,3,2,60.175071,24.928971
423,35,40.0,30,5,0,28,2,2,3,60.191345,24.946607
424,34,40.0,28,6,0,29,4,0,1,60.194714,25.037136
425,32,40.0,24,8,0,29,1,0,2,60.184290,24.964880
426,32,40.0,24,8,0,27,2,2,1,60.209416,25.080708
427,31,40.0,24,6,1,30,0,0,1,60.240703,25.046988
428,31,40.0,22,9,0,18,12,1,0,60.175481,24.915617
429,30,40.0,20,10,0,26,1,2,1,60.186769,24.943150
